000,18.5450,0.3419
001,20.6658,0.3527
002,22.6418,0.3630
003,24.3918,0.3785
004,25.5733,0.3896
005,26.4174,0.3985
006,27.2269,0.4058
007,27.9378,0.4140
008,28.6284,0.4209
009,29.0868,0.4282
010,29.5857,0.4344
011,30.0211,0.4433
012,30.3796,0.4489
013,30.6985,0.4553
014,30.9526,0.4625
015,31.0700,0.4668
016,30.5873,0.4455
017,30.7986,0.4645
018,31.4133,0.4810
019,31.8739,0.4935
020,32.1963,0.5020
021,32.4097,0.5101
022,32.5691,0.5155
023,32.2940,0.5096
024,31.9428,0.5190
025,32.2321,0.5262
026,32.8054,0.5375
027,32.9451,0.5452
028,33.1584,0.5504
029,33.2800,0.5561
030,33.5932,0.5613
031,33.8168,0.5667
032,34.0908,0.5710
033,34.2200,0.5753
034,34.3824,0.5786
035,34.4522,0.5822
036,34.5790,0.5852
037,34.6214,0.5889
038,34.7449,0.5919
039,34.7751,0.5961
040,34.9100,0.5992
041,34.9424,0.6034
042,35.0784,0.6065
043,35.1083,0.6105
044,35.2288,0.6134
045,35.2666,0.6170
046,35.3778,0.6198
047,35.4192,0.6234
048,35.5137,0.6262
049,35.5583,0.6296
050,35.6494,0.6323
051,35.6939,0.6354
052,35.8124,0.6385
053,35.8289,0.6421
054,35.9088,0.6448
055,35.9518,0.6480
056,36.0305,0.6508
057,36.0746,0.6535
058,36.1663,0.6565
059,36.1899,0.6592
060,36.2611,0.6619
061,36.3026,0.6640
062,36.3911,0.6669
063,36.4027,0.6689
064,36.4898,0.6715
065,36.5162,0.6735
066,36.6100,0.6756
067,36.5713,0.6776
068,36.5765,0.6811
069,36.6314,0.6830
070,36.7418,0.6857
071,36.7960,0.6876
072,36.9139,0.6899
073,36.9402,0.6918
074,37.0476,0.6938
075,37.0562,0.6958
076,37.1511,0.6976
077,37.1474,0.6996
078,37.2405,0.7011
079,37.2330,0.7031
080,37.3181,0.7046
081,37.3002,0.7067
082,37.3916,0.7081
083,37.3682,0.7105
084,37.4507,0.7117
085,37.4436,0.7138
086,37.5282,0.7155
087,37.5027,0.7179
088,37.5863,0.7188
089,37.5771,0.7210
090,37.6613,0.7219
091,37.6745,0.7239
092,37.7561,0.7249
093,37.7387,0.7267
094,37.7979,0.7273
095,37.7815,0.7291
096,37.6256,0.7293
097,37.7217,0.7308
098,37.7864,0.7325
099,37.7984,0.7340
100,37.8610,0.7354
101,37.8699,0.7372
102,37.9275,0.7387
103,37.9386,0.7407
104,38.0031,0.7423
105,38.0113,0.7442
106,38.0741,0.7457
107,38.1132,0.7476
108,38.1561,0.7490
109,38.1964,0.7509
110,38.2084,0.7520
111,38.2590,0.7537
112,38.2729,0.7548
113,38.3113,0.7564
114,38.3511,0.7574
115,38.3801,0.7591
116,38.4222,0.7603
117,38.4456,0.7620
118,38.4538,0.7634
119,38.5165,0.7650
120,38.5456,0.7659
121,37.9368,0.7595
122,37.7701,0.7629
123,37.8491,0.7647
124,38.0588,0.7670
125,38.3171,0.7698
126,38.4977,0.7715
127,38.6332,0.7735
128,38.7280,0.7749
129,38.7844,0.7758
130,38.8454,0.7766
131,38.8571,0.7774
132,38.9181,0.7781
133,38.9128,0.7787
134,38.9703,0.7796
135,38.9409,0.7802
136,39.0048,0.7811
137,38.9822,0.7821
138,39.0399,0.7832
139,39.0306,0.7842
140,39.0964,0.7857
141,39.1045,0.7866
142,39.1662,0.7882
143,39.1774,0.7890
144,39.2236,0.7905
145,39.2548,0.7913
146,39.2837,0.7926
147,39.3208,0.7933
148,39.3365,0.7943
149,39.3784,0.7949
